gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
15.105629,56.31946225,24.57548772,7.772687312,2.5176582,,3381.6667,
17.75966,55.67556282,25.1967078,7.345238995,3.393961,,,
13.590288,55.51592231,24.71254241,7.632120934,1.9441614,,4460,
14.159261,56.0970549,24.13238387,7.201051863,1.275795,,5143.45,
18.045433,58.45023153,23.8191883,7.83059124,3.6538582,,,
18.35502,58.29021553,23.56311962,7.328308478,3.4680977,,,
18.095575,58.60004534,23.8661864,8.144625038,3.2835617,,,
16.82563,57.03734791,23.70633652,7.449435939,3.0578432,,4181.373,
17.483944,56.28775178,25.37478947,7.543515834,3.5097313,,,
17.366652,55.86444028,22.62795052,8.023039923,3.0567398,,,
11.738894,55.95431391,25.72941775,7.567568944,1.1642485,0.29382196,4932.27,0.7423369
13.333311,57.33572313,25.81782611,7.686985778,1.7308359,0.08613838,4208.3335,0.55211645
13.783011,55.98213025,24.42621092,7.547522746,1.911253,0.07467317,3835,0.6190193
17.68397,57.17794355,24.45524694,7.964751907,3.192793,,,
14.806614,56.60587054,24.1599254,7.644526536,2.5330095,0.0368229,3473.75,0.5298031
16.61386,58.04731205,24.93001596,7.680566728,-0.43055725,,8868.667,
15.639577,56.84583001,24.84875863,7.889348754,2.781474,,3615.55,
17.957184,56.49136901,24.14455067,7.688198738,2.7209473,,,
15.64461,55.89679968,25.40846707,7.664479745,2.6675653,,3526.3333,
15.788972,57.0951199,24.81470018,7.363327602,2.7020779,,3838.1902,
16.285,57.53514575,25.54866548,7.745694344,2.910325,,4354.8965,
17.175005,55.38008972,24.0567437,7.944581255,3.1458473,,,
19.089773,57.05965094,24.26389682,6.487196911,2.8623142,,,
15.724115,57.2541982,24.90261434,7.458812522,2.78784,,3915.08,
7.6915026,57.29699835,22.60926456,7.487662181,0.24174976,,8118,
11.588625,56.65747999,24.74748435,7.603623324,1.1175804,0.32822162,5013.48,0.7593774
6.786959,56.74758189,24.51991992,7.05978635,0.045104027,,9256.667,
15.002328,56.72344417,24.28730077,7.320247168,2.7143078,,3904.6667,
18.142078,58.21587005,23.56320796,8.019335868,3.532732,,,
15.368034,55.90555296,25.40879275,7.583578073,2.5916357,,3533.9465,
17.092678,56.96658172,23.66318229,7.609715391,3.067627,,,
12.527379,58.6165859,23.83518131,7.531392366,1.7062473,0.1878236,4215,0.8127043
15.765555,54.95000104,23.84895166,7.695993026,2.9542532,,4323.073,
5.4132123,57.08682897,23.42104595,7.722394309,-0.07732582,,8561.333,
17.321552,56.66843111,22.84419106,7.362524427,3.1900597,,,
15.725168,56.78401198,24.30663688,7.234677458,2.7286339,,4190.813,
15.693411,56.30039588,24.50489785,7.96043033,2.6311283,,3844.01,
17.552858,57.67176092,25.65831371,7.286575089,3.1270332,,,
14.628149,56.37602672,24.31245144,7.365425008,2.2249298,,4147.31,
17.627504,57.96486082,23.58017751,7.528717479,3.2733173,,,
10.699402,57.20405883,24.26718036,6.966932356,1.0752592,0.8772346,5066.4136,1.2156519
15.280206,56.40822998,24.33414212,7.897739784,1.0269299,,5095.6333,
18.517683,55.84406231,23.01553486,7.147798171,3.6704388,,,
17.936346,56.75985184,23.54316676,7.553948971,3.231165,,,
15.46663,56.10672542,24.68116623,7.871959523,2.7298212,,4190.813,
10.400532,56.43515234,24.22011205,7.431570318,0.9301739,0.9622572,5413,1.1153783
10.038034,56.65709372,23.78751612,7.399871171,0.9086571,1.3377335,5535,1.2577728
18.309292,57.02080575,23.4035836,7.127916518,3.0712452,,,
16.769592,56.86851392,24.67570305,7.30203582,2.8946505,,4216.5034,
18.726257,56.40738745,23.73043765,7.557490627,2.3246841,,,
17.561867,57.52090694,23.3046443,7.482364502,3.1743813,,,
16.100794,55.72227265,23.5185633,7.413470477,2.8311272,,3881.0967,
